Record ID,Category,Prompt Preview,检查是否完成,是否存在Viewer失败项,是否待仿真,标注版本,零件拆分与活动属性是否合理,零件数量和种类是否符合描述,必要结构是否完整,几何形状、尺寸和比例是否合理,零件位置、朝向与装配关系是否合理,初始状态是否不存在非预期穿插、悬浮或脱离,父子关系与连接对象是否正确,活动零件是否具有对应的运动学关节,运动学关节类型是否正确,运动学关节的位置与轴向是否正确,运动学关节的运动范围是否合理,活动零件是否具有可信的实体连接或支撑结构,运动过程中是否不存在非预期穿模或几何干涉,多部件机构的连接与运动关系是否合理,Notes,Annotator,Legacy Failure Types,Legacy Source,Legacy Conversion Notes,Created At,Updated At
rec_twojoint_prismatic_chain_53ea9bfa9ae1457095ae95c6bb1ff47a,Two-joint prismatic chain,"A nested sample tray carrier with an outer drawer body, a middle tray, and a smaller inner tray at the front. The trays should visibly nest so the two extens...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:19:06.315194+00:00,2026-07-29T23:53:59.333090+00:00
rec_twojoint_revolute_chain_81af4b1a09fe42bebb22ea5c3e5048a3,Two-joint revolute chain,"A wall-backed two-joint revolute chain. A fixed backplate carries a root clevis and a sequence of articulated links, with enough spacing between links that e...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:22:00.966564+00:00,2026-07-29T23:53:59.333090+00:00
rec_twostage_telescoping_slide_fa57ef4a4e1945f3ae9a426f20581a7c,Two-stage telescoping slide,A bridge-backed extension slide. A rear support carries an outer slide body and one carried inner stage projecting from it. The carried stage is one prismati...,是,否,否,new,不涉及,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:27:12.307052+00:00,2026-07-29T23:53:59.333090+00:00
rec_undershot_waterwheel_0003,Undershot waterwheel,"A realistic, highly detailed Undershot Waterwheel in a refined premium variant, with a wheel rim and paddles, side support frame, and axle bearings positione...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:30:33.447549+00:00,2026-07-29T23:53:59.333090+00:00
rec_usb_drive_with_swivel_cover_5fe5aa05d3e048c7917a782fee9502b6,USB drive with swivel cover,"A USB drive with a swivel cover. A compact body carries the connector, and a U-shaped cover wraps around the body on a side pin. Joints: the cover rotates co...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不满足,不涉及,,yiyun,,,,2026-07-18T19:32:02.827622+00:00,2026-07-29T23:53:59.333090+00:00
rec_vacuum_cleaner_with_articulated_wand_357e370aaa6741aaaf93425c9d649b5a,Vacuum cleaner with articulated wand,Build a precision professional Vacuum cleaner with articulated wand tuned for calibration and repeatable alignment. Use a vacuum body with articulated wand s...,是,是,否,new,满足,不满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:34:44.253447+00:00,2026-07-29T23:53:59.333090+00:00
rec_flap_array_with_independent_hinges_0002,Vane array with independent pivots,"A rectangular frame carrying several independently hinged flaps, with repeated revolute joints and clean sheet-metal-like geometry.",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:36:16.985414+00:00,2026-07-29T23:53:59.333090+00:00
rec_vertical_slide_with_wrist_hinge_f18d3a9735e24e03b94589349819009e,Vertical slide with wrist hinge,"A mast-and-wrist slide. A grounded vertical guide carries a moving carriage, and the carriage carries a compact hinged output face at its front. The carriage...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:38:49.086496+00:00,2026-07-29T23:53:59.333090+00:00
rec_waffle_maker_aef0e905c2174eceadda3173e90c646d,Waffle maker,"A countertop waffle maker with a lower cooking base, a hinged upper plate, and a browning-control knob on the side. The upper plate rotates upward on a rear...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:41:06.218195+00:00,2026-07-29T23:53:59.333090+00:00
rec_wall_safe_with_hinged_door_and_dial_a62b6299f8e34d21a36c51681a3d3709,Wall Safe With Hinged Door And Dial,"A recessed wall safe with a rectangular front frame, a thick door, a round combination dial, and a three-spoke handle at the center. The door rotates on a ve...",是,是,否,new,满足,不满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:42:58.642519+00:00,2026-07-29T23:53:59.333090+00:00
rec_wall_thermostat_with_articulated_controls_f913d89d4077488f81709454ebd72e8c,Wall thermostat with articulated controls,"A realistic, highly detailed wall thermostat with a compact mounted housing, a prominent rotating dial, a clean front face, and a believable home-climate-con...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:44:28.142234+00:00,2026-07-29T23:53:59.333090+00:00
rec_watch_winder_box_with_hinged_lid_e8bfd626f2f04fa3a087f47cdddb81d8,Watch winder box with hinged lid,A watch winder presentation box. A box body supports a top lid and one internal cradle mounted on a small spindle. Joints: the lid is revolute about a horizo...,是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:47:20.175779+00:00,2026-07-29T23:53:59.333090+00:00
rec_wheelbarrow_ee2d5690c8a14283b4b38202f1a0381d,Wheelbarrow,"Model Wheelbarrow as an industrial safety-first variant for heavy duty cycles. Start from a tray, front wheel fork/axle, rear legs, and tubular handles, then...",是,是,否,new,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:50:21.700411+00:00,2026-07-29T23:53:59.333090+00:00
rec_wheelchair_35fae8af32834d34ad3bbf2c7578d4e2,Wheelchair,"A realistic, highly detailed Wheelchair in a rugged utility variant, with a rigid or foldable chair frame, large rear drive wheels, front casters, and footre...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:53:38.614592+00:00,2026-07-29T23:53:59.333090+00:00
rec_wheelie_bin_with_hinged_lid_4cb061e3d69c4d4c843a9b332ee19f03,Wheelie bin with hinged lid,Generate a compact apartment/desktop version of Wheelie bin with hinged lid. Keep footprint and envelope efficient while preserving full functional articulat...,是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:55:15.869258+00:00,2026-07-29T23:53:59.333090+00:00
rec_wind_turbine_e10650a329fb4c79b8baeee1fa7b8566,Wind turbine,"A horizontal-axis wind turbine with a tapered tower, a nacelle, and a three-blade rotor hub at the front. The nacelle stays clearly mounted on a yaw bearing...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T19:59:24.484173+00:00,2026-07-29T23:53:59.333090+00:00
rec_windshield_sun_visor_d79bab04ab074d7d8eeacd123777b1e1,Windshield sun visor,Design Windshield sun visor as a field-service workhorse. Build it around a visor panel on a roof hinge arm plus secondary swing pivot. Prioritize chunky har...,是,是,否,new,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T20:01:15.226168+00:00,2026-07-29T23:53:59.333090+00:00
rec_windshield_wiper_assembly_291e082ab0b34d1cb8d1d37d83a9fe5f,Windshield wiper assembly,"A realistic, highly detailed windshield wiper assembly with a pivoting wiper arm, articulated blade support structure, and a believable automotive-hardware a...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T20:03:20.467929+00:00,2026-07-29T23:53:59.333090+00:00
rec_xyz_cartesian_stage_072a106777414d4f94599578f9604d76,XYZ Cartesian stage,"An XYZ cartesian stage. A grounded base carries a long X slide, the X carriage carries a crosswise Y slide, and the Y carriage carries a compact Z slide with...",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,满足,不满足,不涉及,,yiyun,,,,2026-07-18T20:05:15.839315+00:00,2026-07-29T23:53:59.333090+00:00
rec_yawpitch_module_24e621d7df2641ac9889e6a08c3bc421,Yaw-pitch module,"A pan-tilt surveillance head with a rotary base and tilting upper fork, using simple cast-like housings and flat equipment brackets.",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T20:09:20.618081+00:00,2026-07-29T23:53:59.333090+00:00
rec_yawpitchroll_wrist_71a3903167694d5ab1a72ebd73fa28f6,Yaw-pitch-roll wrist,"A compact tool wrist with a yaw collar at the root, a pitch yoke in the middle, and a short roll spindle carrying a flange at the nose. The three axis suppor...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,yiyun,,,,2026-07-18T20:11:25.402432+00:00,2026-07-29T23:53:59.333090+00:00
rec_zippo_lighter_a19c9756cfd3497d8ce55415517699a2,Zippo lighter,"A matte-finish pocket lighter with a deep lower body, a square lid, and a visible inner insert with a wick opening, plus a lift-out insert fit inside the low...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,不涉及,,yiyun,,,,2026-07-18T20:21:04.624340+00:00,2026-07-29T23:53:59.333090+00:00
rec_lighthouse_with_rotating_beacon_assembly_66ebf92827a943f58873cf49fad7a7fc,Lighthouse with rotating beacon assembly,"A realistic, highly detailed lighthouse with a substantial tower and a believable rotating beacon assembly at the top. The beacon motion articulates naturall...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,xuge,,,,2026-07-18T20:35:15.317918+00:00,2026-07-29T23:53:59.333090+00:00
rec_linear_carriage_with_independent_rotary_endeffector_ac62f36bf0b04244a5c1aa38b4119472,Linear carriage with independent rotary end-effector,A box-rail carriage with rotary nose. A grounded box rail supports a sliding carriage with a short nose spindle mounted to the front face. The carriage is a...,是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,xuge,,,,2026-07-18T20:37:50.352166+00:00,2026-07-29T23:53:59.333090+00:00
rec_lounge_chair_with_independent_backrest_and_footrest_415793483ae540319d0cf39f68455281,Lounge chair with independent backrest and footrest,"A padded chaise-style recliner with broad side arms, a separate back panel, and a long leg-rest panel. The base frame is fixed, the backrest is mounted betwe...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,满足,不涉及,backrest旋转范围过大，会触碰甚至穿过地面,xuge,,新版原始标注（覆盖旧版前350条）,该 Record ID 同时出现在旧版前350条和新版235条中，最终采用新版原始细粒度标注。旧版与新版的 Viewer 是否失败结论不一致。,2026-07-18T20:42:42.338406+00:00,2026-07-29T23:53:59.333090+00:00
rec_louvered_shutter_assembly_1e0fd6a81fab445ca693a6892585c319,Louvered shutter assembly,"A broad plantation shutter with two side-by-side louver banks in one panel. The single framed door hangs on one side of the opening, and two parallel banks o...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,不满足,不涉及,,xuge,,新版原始标注（覆盖旧版前350条）,该 Record ID 同时出现在旧版前350条和新版235条中，最终采用新版原始细粒度标注。旧版与新版的 Viewer 是否失败结论不一致。,2026-07-18T20:46:17.887203+00:00,2026-07-29T23:53:59.333090+00:00
rec_mailbox_with_front_access_door_0002,Mailbox with front access door,"A curbside mailbox with a rounded top and a front access door. The main box body is fixed to a short post or mounting plate, and the curved front door closes...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-18T20:48:17.216472+00:00,2026-07-29T23:53:59.333090+00:00
rec_mastmounted_fork_carriage_c3e7acda77b249c8b1f9155c9a68ea68,Mast-mounted fork carriage,A warehouse mast fork carriage. A twin-upright mast supports a moving fork frame with a stiff backrest grid and short paired forks at the bottom edge. The fo...,是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,不满足,不涉及,,xuge,,,,2026-07-18T20:50:35.924115+00:00,2026-07-29T23:53:59.333090+00:00
rec_metronome_c8917520bd114977a46b060942212ee6,Metronome,A pyramid metronome with two independently adjustable weights on the pendulum rod for fine and coarse tempo control. A tapered wooden housing on a rectangula...,是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,xuge,,,,2026-07-18T20:53:51.923235+00:00,2026-07-29T23:53:59.333090+00:00
rec_microwave_oven_47dc895bb93344b9bee2eb9b47092c97,Microwave oven,"A grill-combo microwave with a side-hinged door, a turntable tray, and a chunky selector knob. The front face is divided between the large door window and a...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,不涉及,,xuge,,,,2026-07-18T21:11:18.633376+00:00,2026-07-29T23:53:59.333090+00:00
rec_a-midi-keyboard_20260322_164952_491478_ce96f1d3,MIDI keyboard controller with pitch wheel and sliders,A midi keyboard,是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,不满足,不满足,不涉及,,xuge,,,,2026-07-18T21:14:39.240623+00:00,2026-07-29T23:53:59.333090+00:00
rec_missile_launcher_91c8ac060ad846448a2f80737cd3f3d4,Missile launcher,A truck-bed style missile launcher module without the vehicle. A rectangular base frame carries a slewing ring and an elevation arm that supports a bank of c...,是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,xuge,,,,2026-07-18T21:16:49.798884+00:00,2026-07-29T23:53:59.333090+00:00
rec_miter_saw_arm_assembly_8288f5516faf4febbaccc03d9944b0d1,Miter saw arm assembly,"A basic chop-style miter saw with a rotating table, a pivot arm, and a guarded circular blade. The fixed base carries the miter table and rear arm pivot, and...",是,是,否,new,满足,满足,满足,满足,不满足,不满足,满足,满足,满足,满足,满足,满足,不满足,不涉及,,xuge,,,,2026-07-18T21:34:16.005866+00:00,2026-07-29T23:53:59.333090+00:00
rec_monitor_mount_c10308ed1ba241a9a835032150c14cbb,Monitor mount,"A pole-mounted monitor support with articulated head. A fixed mast clamp carries a first arm, a second arm, and a compact monitor plate, with the head hardwa...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,xuge,,,,2026-07-18T21:36:44.637875+00:00,2026-07-29T23:53:59.333090+00:00
rec_motherboard_ac0bc30f471c4be99b63ebe38b82c94f,Motherboard,"A gaming motherboard with a primary PCIe slot, memory slots, and a hinged cover over one storage bay. The rigid PCB carries the socket, heatsinks, and connec...",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,不满足,不满足,不满足,不满足,不满足,不涉及,,xuge,,,,2026-07-18T21:56:44.498510+00:00,2026-07-29T23:53:59.333090+00:00
rec_multisegment_foldout_arm_a92a2161f4a14f91bbc68c61a0030cee,Multi-segment fold-out arm,"An under-slung multi-segment fold-out arm. A top support bracket carries the first link below it, and the remaining links hang in sequence to a small platfor...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-18T21:58:36.004947+00:00,2026-07-29T23:53:59.333090+00:00
rec_observation_wheel_dd40e6e7f3ef428b9610b1c37791682a,Observation wheel,An observation wheel with twin rim rings and cabins suspended between the rims on short hanger brackets. The wheel is supported by side legs and a central ax...,是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-18T22:01:46.037771+00:00,2026-07-29T23:53:59.333090+00:00
rec_office_chair_0004,Office chair,"A mesh-backed office chair with a five-wheel base and a simple tilt mechanism. The seat sits above a central pedestal, the back frame rises from the rear bra...",是,是,否,new,不满足,满足,满足,满足,满足,不满足,满足,满足,不满足,不满足,满足,不满足,不满足,不涉及,,xuge,,,,2026-07-18T22:04:56.977132+00:00,2026-07-29T23:53:59.333090+00:00
rec_offsetaxis_rotary_stack_119aa50c93b346fd9d4da7d7b4dd87db,Offset-axis rotary stack,"An edge-arm offset rotary stack. A grounded lower platform carries a stiff side arm, and the side arm supports a smaller upper rotary stage on a parallel off...",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,xuge,,,,2026-07-18T22:27:12.436772+00:00,2026-07-29T23:53:59.333090+00:00
rec_opposed_twinslide_gripper_9d176d921adf4aafb3e3f085c7f12113,Opposed twin-slide gripper,An opposed twin-slide gripper. A grounded center body carries left and right guideways with mirrored jaw carriages and simple jaw fingers facing a common pic...,是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-18T22:28:59.501603+00:00,2026-07-29T23:53:59.333090+00:00
rec_orchestra_style_music_stand_7f2ddfaf4b5041c8a464d6ea39fcc498,Orchestra Style Music Stand,"A perforated rehearsal music stand with a flat plate base, a telescoping post, and a shallow punched-metal desk with two small page clips along the top edge....",是,否,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不涉及,,xuge,,,,2026-07-18T22:33:33.436353+00:00,2026-07-29T23:53:59.333090+00:00
rec_orthogonal_xy_stage_dd803112f5e4499aaec517af3dde49c3,Orthogonal XY stage,"A box-rail XY cross stage. A grounded lower rail carries a rectangular X carriage, and the X carriage carries a short Y slide with a plain platform. The X an...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-18T22:46:55.351408+00:00,2026-07-29T23:53:59.333090+00:00
rec_orthogonal_xz_stage_5c243c5f45ec4b35b5256bff57f02333,Orthogonal XZ stage,A bench positioning axis with a low horizontal base slide carrying an upright column and a small head pad at the top of that column. The contrast between the...,是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-18T22:49:07.711913+00:00,2026-07-29T23:53:59.333090+00:00
rec_orthogonal_yz_stage_4b2deeac85504b1dab8613a416ceaf54,Orthogonal YZ stage,"An orthogonal YZ stage. A grounded back frame carries a horizontal Y slide, and the Y carriage supports a vertical Z slide with a small hanging tool plate. T...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-18T22:50:42.190138+00:00,2026-07-29T23:53:59.333090+00:00
rec_overear_headphones_with_folding_earcups_ebed1456c8c74662a55bc197c5af48ae,Over-ear headphones with folding earcups,"A pair of over-ear headphones with a padded headband and two circular earcups. Each earcup is carried by a short yoke at the end of a headband arm, and each...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,不涉及,,xuge,,,,2026-07-18T22:53:01.446050+00:00,2026-07-29T23:53:59.333090+00:00
rec_overbed_table_9fed447735de49a7bef507a48629e224,Overbed table,"A hospital overbed table with a C-shaped rolling base, a single telescoping column, a rectangular tray top, and a squeeze-release lever under the front edge,...",是,是,否,new,满足,满足,满足,满足,不满足,不满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-19T00:45:03.895928+00:00,2026-07-29T23:53:59.333090+00:00
rec_overshot_waterwheel_34ab721ae08a4072bcdd7ecbce39bf4b,Overshot waterwheel,"An overshot waterwheel with a side-mounted drive pinion on the same axle. The large bucketed wheel sits between support blocks, and a smaller gear wheel is f...",是,是,否,new,满足,满足,满足,满足,满足,不满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-19T00:48:36.376705+00:00,2026-07-29T23:53:59.333090+00:00
rec_padlock_with_shackle_0aba20660cd54e8bb7fd699150ac6c9b,Padlock with shackle,"A classic keyed padlock with a rectangular body and a U-shaped shackle. One shackle leg is captive in the body as the pivot side, the other is the release si...",是,是,否,new,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,满足,不满足,满足,不涉及,,xuge,,,,2026-07-19T01:04:49.347461+00:00,2026-07-29T23:53:59.333090+00:00
